demo/inflicted,positioning/percent_farthest_from_ball,positioning/avg_distance_to_ball_no_possession,positioning/time_most_forward,positioning/percent_closest_to_ball,movement/percent_high_air,core/shots_against,positioning/avg_distance_to_ball,movement/count_powerslide,boost/bcpm,movement/percent_boost_speed,positioning/percent_most_forward,core/mvp,boost/time_boost_25_50,positioning/time_most_back,core/shooting_percentage,positioning/avg_distance_to_ball_possession,boost/bpm,boost/time_full_boost,core/shots,movement/time_powerslide,positioning/time_defensive_third,boost/time_boost_0_25,demo/taken,positioning/time_farthest_from_ball,core/assists,boost/amount_used_while_supersonic,boost/amount_collected_big,boost/amount_stolen,movement/time_ground,boost/amount_stolen_big,movement/avg_speed_percentage,movement/time_high_air,positioning/time_infront_ball,positioning/percent_behind_ball,positioning/time_offensive_half,boost/time_boost_50_75,movement/percent_low_air,boost/percent_boost_75_100,boost/count_stolen_big,positioning/goals_against_while_last_defender,positioning/percent_offensive_third,boost/count_collected_small,boost/avg_amount,boost/count_stolen_small,positioning/percent_infront_ball,movement/time_low_air,boost/amount_stolen_small,movement/time_boost_speed,movement/total_distance,movement/percent_ground,boost/amount_overfill,positioning/percent_defensive_third,boost/percent_boost_50_75,positioning/percent_defensive_half,positioning/percent_neutral_third,positioning/time_behind_ball,boost/time_zero_boost,core/goals_against,core/saves,boost/amount_collected_small,positioning/percent_offensive_half,movement/avg_powerslide_duration,movement/percent_supersonic_speed,movement/time_slow_speed,movement/time_supersonic_speed,boost/percent_zero_boost,boost/amount_collected,movement/percent_slow_speed,boost/count_collected_big,movement/avg_speed,boost/percent_full_boost,positioning/time_defensive_half,positioning/percent_most_back,core/score,positioning/avg_distance_to_mates,core/goals,positioning/time_closest_to_ball,positioning/time_neutral_third,boost/time_boost_75_100,positioning/time_offensive_third,boost/amount_overfill_stolen,boost/percent_boost_25_50,boost/percent_boost_0_25
0,34.650616,2572,67.7,32.72078,6.4929028,4,2485,50,414.25198,36.04737,19.49997,True,60.26,161.6,100.0,2366,411,91.16,5,6.92,148.75,81.06,1,120.3,0,124,2083,448,186.28,367,61.869564,23.74,62.63,82.87066,161.56,73.39,42.559418,37.989887,5,,27.169542,30,54.07,9,17.129337,155.61,81,131.8,474248,50.947678,490,40.683205,21.195667,55.81325,32.14725,303.0,21.2,1,1,314,44.186745,0.14,9.996445,197.28,36.55,6.106343,2397,53.956184,26,1423,26.257273,204.07,46.546463,848,3080,5,113.6,117.54,131.54,99.34,89,17.40361,23.41083
0,27.564953,2745,179.3,44.933464,4.012789,4,2139,16,415.63455,33.851738,51.64468,False,80.42,53.3,25.0,2018,405,67.69,8,2.27,110.49,93.63,0,95.7,1,347,1950,1061,222.19,940,64.04348,14.81,147.06,60.154976,207.73,73.12,35.784542,29.319418,11,,42.416275,35,52.53,11,39.845016,132.07,121,124.94,497296,60.20267,361,29.936598,20.909353,43.71681,27.647121,222.02,49.66,1,1,455,56.283188,0.14,13.549908,194.13,50.01,14.30382,2405,52.59835,23,1473,19.497091,161.35,15.352267,540,3010,2,156.0,102.04,102.53,156.55,159,22.996855,26.77438
0,44.06936,1936,105.7,23.561268,0.9873746,4,2614,16,233.4812,23.478472,30.445303,False,93.47,154.3,0.0,2728,223,44.78,0,8.31,143.88,119.06,0,153.0,1,294,835,398,277.21,190,52.086956,3.66,110.81,70.10709,175.33,77.18,24.228445,17.864029,2,1.0,35.204617,44,42.79,18,29.892902,89.81,208,87.03,402817,74.78418,169,38.814102,21.881378,52.701717,25.981277,259.88,25.83,1,0,516,47.298283,0.52,4.7399373,266.08,17.57,7.4399447,1351,71.781586,10,1198,12.898209,195.36,44.443806,88,2987,0,81.8,96.31,63.01,130.5,9,26.499773,33.754818
0,44.87586,2412,185.2,47.208942,0.5833379,13,2251,1,124.085495,23.019197,53.34409,False,101.12,130.6,50.0,1532,154,0.0,2,0.15,175.83,206.11,0,155.8,0,228,0,260,284.07,0,54.347828,2.13,168.54,53.84236,146.37,12.41,21.619104,2.295583,0,1.0,17.354986,60,23.83,22,46.157635,78.94,260,84.05,386486,77.797554,0,48.15413,3.7933667,59.912907,34.49088,196.6,44.7,7,0,718,40.087093,0.15,5.148851,262.28,18.8,12.875166,718,71.83195,0,1250,0.0,218.76,37.61738,154,2271,1,163.9,125.94,7.51,63.37,0,30.909367,63.001675
0,31.019276,2197,76.0,43.308064,2.6820471,13,2073,2,74.03003,32.901356,37.659184,False,27.8,75.5,0.0,1527,69,0.22,0,0.62,115.88,168.3,0,62.6,0,27,100,23,124.27,0,56.04348,5.65,101.77,51.689926,61.83,0.0,38.327164,1.3085052,0,3.0,18.479137,13,29.66,2,48.310074,80.74,23,69.31,256159,58.990795,0,55.00546,0.0,70.65078,26.515404,108.89,75.64,7,0,149,29.34922,0.31,2.5538783,135.97,5.38,37.4808,249,64.54476,1,1289,0.10901343,148.84,37.411427,56,2255,0,87.4,55.86,2.6,38.93,0,13.99094,84.70055
1,56.771706,2827,124.3,37.32934,1.5719604,13,3001,12,247.4797,22.783478,35.802753,False,80.17,190.6,0.0,3178,224,53.34,2,3.85,224.11,88.99,0,197.1,0,339,1134,165,246.71,92,54.260868,5.53,147.44,58.08863,80.53,68.6,28.298132,25.385218,2,3.0,12.414009,26,52.38,7,41.911366,99.55,73,80.15,340893,70.129906,476,63.70743,21.52832,77.1085,23.878561,204.35,45.02,7,0,298,22.891497,0.32,7.771682,244.3,27.34,12.967337,1432,69.44484,16,1248,15.363789,271.26,54.899475,54,2650,0,129.6,84.0,80.89,43.67,118,25.159264,27.92719
1,44.010983,2932,105.5,30.42913,3.2822819,5,2638,7,203.90118,35.488163,30.486925,False,62.18,170.7,200.0,1791,202,24.9,1,2.43,191.45,224.04,1,152.3,0,447,652,271,246.22,100,61.434784,11.83,98.2,72.75401,109.24,23.33,28.402975,10.774508,1,2.0,17.854172,45,29.54,15,27.245993,102.37,171,127.91,475873,68.31475,147,53.118587,6.7246995,69.69092,29.027246,262.22,91.49,4,0,524,30.309086,0.35,6.791887,208.04,24.48,26.438377,1176,57.71994,8,1413,7.1954923,251.18,49.328133,270,2475,2,105.3,104.62,37.38,64.35,0,17.922924,64.57787
0,25.92111,2431,134.9,41.265713,1.6206515,5,2203,0,195.57867,35.993153,38.982803,False,60.16,90.7,0.0,1556,214,29.36,0,0.0,140.1,188.35,0,89.7,1,397,612,144,226.71,0,56.869564,5.87,151.69,58.118668,147.58,23.83,35.786858,19.402191,0,2.0,18.355515,37,38.09,12,41.881332,129.62,144,130.36,445006,62.592487,190,38.682423,7.0523825,59.25343,42.962063,210.5,107.15,4,0,516,40.74657,0.0,6.311779,208.96,22.86,30.963736,1128,57.69507,8,1308,8.4843235,214.61,26.210087,164,2377,0,142.8,155.6,65.56,66.48,0,17.804085,55.741344
0,31.758417,2604,99.7,26.52796,0.0,5,2453,27,86.17252,29.701294,28.810867,False,60.74,90.4,0.0,2009,98,19.06,0,7.6,163.72,224.12,0,109.9,0,71,106,230,247.17,87,52.913044,0.0,123.16,65.81073,140.45,12.4,31.383598,7.651683,1,,22.627838,33,23.85,12,34.189266,113.05,143,106.99,394855,68.6164,93,45.45,3.852248,61.009937,31.92216,237.07,49.09,4,0,391,38.990063,0.28,2.906557,242.76,10.47,14.185812,497,67.39215,2,1217,5.507875,219.77,26.123394,32,2257,0,91.8,114.99,24.63,81.51,12,18.8698,69.626274
0,21.730963,2690,139.7,55.252132,7.64871,1,1809,75,600.08673,42.857533,40.36989,True,65.15,120.4,80.0,1460,568,47.04,5,9.38,142.82,114.11,0,75.2,0,467,2983,747,168.96,566,68.608696,27.8,125.98,65.33869,158.69,66.76,45.864746,30.922361,10,1.0,27.03461,43,53.24,16,34.661312,166.7,181,155.77,529663,46.486546,826,39.29456,18.74491,56.33907,33.67083,237.48,53.07,2,0,478,43.660923,0.13,15.096571,152.82,54.87,15.335935,3461,42.04589,40,1578,13.593411,204.77,34.79266,725,3126,4,191.2,122.38,110.13,98.26,415,18.292852,32.039867
