demo/inflicted,positioning/percent_farthest_from_ball,positioning/avg_distance_to_ball_no_possession,positioning/time_most_forward,positioning/percent_closest_to_ball,movement/percent_high_air,core/shots_against,positioning/avg_distance_to_ball,movement/count_powerslide,boost/bcpm,movement/percent_boost_speed,positioning/percent_most_forward,core/mvp,boost/time_boost_25_50,positioning/time_most_back,core/shooting_percentage,positioning/avg_distance_to_ball_possession,boost/bpm,boost/time_full_boost,core/shots,movement/time_powerslide,positioning/time_defensive_third,boost/time_boost_0_25,demo/taken,positioning/time_farthest_from_ball,core/assists,boost/amount_used_while_supersonic,boost/amount_collected_big,boost/amount_stolen,movement/time_ground,boost/amount_stolen_big,movement/avg_speed_percentage,movement/time_high_air,positioning/time_infront_ball,positioning/percent_behind_ball,positioning/time_offensive_half,boost/time_boost_50_75,movement/percent_low_air,boost/percent_boost_75_100,boost/count_stolen_big,positioning/goals_against_while_last_defender,positioning/percent_offensive_third,boost/count_collected_small,boost/avg_amount,boost/count_stolen_small,positioning/percent_infront_ball,movement/time_low_air,boost/amount_stolen_small,movement/time_boost_speed,movement/total_distance,movement/percent_ground,boost/amount_overfill,positioning/percent_defensive_third,boost/percent_boost_50_75,positioning/percent_defensive_half,positioning/percent_neutral_third,positioning/time_behind_ball,boost/time_zero_boost,core/goals_against,core/saves,boost/amount_collected_small,positioning/percent_offensive_half,movement/avg_powerslide_duration,movement/percent_supersonic_speed,movement/time_slow_speed,movement/time_supersonic_speed,boost/percent_zero_boost,boost/amount_collected,movement/percent_slow_speed,boost/count_collected_big,movement/avg_speed,boost/percent_full_boost,positioning/time_defensive_half,positioning/percent_most_back,core/score,positioning/avg_distance_to_mates,core/goals,positioning/time_closest_to_ball,positioning/time_neutral_third,boost/time_boost_75_100,positioning/time_offensive_third,boost/amount_overfill_stolen,boost/percent_boost_25_50,boost/percent_boost_0_25
0,57.4081,4699,37.4,17.324888,0.99085367,4,4696,9,176.97467,16.169828,11.612023,False,116.41,215.9,150.0,4607,163,66.31,2,4.0,263.35,66.14,1,184.9,0,190,560,184,280.12,94,44.217392,3.51,32.14,90.927055,39.21,67.95,19.932814,27.332327,1,1.0,4.104562,33,47.67,8,9.072946,70.61,90,57.28,302587,79.07633,40,74.34225,19.711649,88.93124,21.553183,322.1,20.33,3,1,390,11.068768,0.44,3.4157634,284.86,12.1,6.3120966,950,80.414406,6,1017,20.588053,315.03,67.033035,526,4012,3,55.8,76.35,94.22,14.54,5,33.769436,19.186586
0,25.956285,3667,101.6,21.330103,0.3730297,4,3585,8,211.06558,23.504333,31.54496,False,80.64,53.9,50.0,3480,181,38.83,2,2.67,171.95,82.66,0,83.6,0,39,631,210,255.7,20,51.260868,1.33,85.93,75.89824,122.2,83.63,27.909914,24.27783,1,1.0,16.318403,38,46.9,12,24.101759,99.51,190,83.8,359233,71.717064,168,48.22876,25.64551,65.72615,35.45284,270.6,29.02,3,0,502,34.273857,0.33,3.2311447,261.21,11.52,9.010184,1133,73.26452,8,1179,12.056012,234.34,16.734974,160,3496,1,68.7,126.4,79.17,58.18,79,24.728613,25.348055
1,41.101383,3053,92.9,34.4038,0.8975398,3,2967,6,338.82877,28.818598,26.589958,True,72.08,170.3,100.0,2890,286,111.05,2,2.73,189.91,80.46,1,143.6,0,234,1503,228,254.8,107,54.0,3.32,65.87,82.19249,124.43,83.27,30.218977,34.342197,2,1.0,19.467949,33,47.51,11,17.807518,111.78,121,106.6,417930,68.88348,301,51.34229,23.185299,66.36027,29.189758,304.03,48.7,3,0,470,33.63973,0.45,5.993511,241.13,22.17,13.938977,1973,65.18788,18,1242,31.784876,245.46,48.74349,372,3057,2,120.2,107.97,123.34,72.01,92,20.069609,22.402897
2,32.88683,2667,151.9,46.711315,0.7915567,3,2373,26,304.4822,34.86019,43.477013,False,79.95,119.8,50.0,2127,291,39.72,2,5.38,155.86,102.45,1,114.9,1,307,1052,656,276.53,381,59.217392,2.91,96.97,73.62293,153.67,77.02,23.988792,22.105455,5,2.0,25.23189,64,46.05,25,26.377064,88.19,275,128.16,445560,75.21965,385,42.395885,23.12635,58.19982,32.372223,270.66,19.72,3,1,721,41.80018,0.21,5.317702,219.93,19.55,5.644284,1773,59.822113,15,1362,11.3687105,213.96,34.28931,358,3068,1,163.2,119.01,73.62,92.76,118,24.006126,30.762074
0,36.427322,2735,109.8,35.02627,2.4248848,3,2964,8,284.8591,42.106907,34.962585,False,70.71,95.2,100.0,3116,265,49.36,1,2.8,137.29,53.38,1,114.4,0,212,1107,217,202.9,0,65.347824,7.78,67.17,79.06499,130.73,56.57,34.334873,36.752552,1,,24.890137,34,54.74,19,20.935019,110.16,217,135.1,405094,63.240246,207,42.789467,19.804647,59.253834,32.3204,253.68,12.87,3,0,384,40.746166,0.35,7.645317,161.22,24.53,4.0980735,1491,50.24778,13,1503,15.717243,190.11,30.313646,154,3123,1,110.0,103.7,104.98,79.86,99,24.754934,18.687859
0,42.01729,2916,120.2,36.14975,2.2676477,5,2939,5,253.30585,36.390396,34.4038,False,59.76,158.2,100.0,2956,254,73.57,2,2.48,229.64,111.4,2,146.8,0,326,1121,180,211.19,75,56.739132,8.32,108.52,70.42327,91.16,76.75,40.171707,24.884861,2,2.0,14.540352,30,48.1,9,29.576735,147.39,105,133.52,435134,57.56064,384,62.58756,23.254757,75.15467,22.872095,258.39,25.62,4,0,354,24.84533,0.5,4.0990977,218.35,15.04,7.3329897,1475,59.510506,15,1305,21.0573,275.75,45.28021,376,3012,2,126.3,83.92,82.13,53.35,127,18.106895,33.753483
0,38.096058,2778,144.3,35.834908,1.4956456,5,2615,22,128.2844,30.635042,41.301735,False,98.6,115.4,100.0,2403,104,52.88,1,3.17,198.22,17.4,1,133.1,0,155,176,165,241.73,69,57.782608,5.53,134.93,63.50679,111.33,92.6,33.12598,39.17481,1,,16.530535,50,54.96,9,36.49321,122.48,96,113.27,451953,65.37837,145,53.610645,27.00102,69.889656,29.85882,234.81,1.64,4,1,571,30.110348,0.14,3.2509332,244.45,12.02,0.46940294,747,66.11403,3,1329,15.135383,258.41,33.029938,206,2813,1,125.2,110.4,134.35,61.12,40,28.750546,5.0736256
3,36.432507,2524,97.2,35.709366,0.25823987,5,2162,24,366.52893,37.63379,33.471077,False,51.07,106.5,0.0,1697,423,33.52,0,5.93,194.93,91.94,0,105.8,0,671,1432,187,192.19,97,65.21739,0.76,115.63,60.711494,64.14,46.42,34.437645,22.367935,1,2.0,12.547994,30,45.6,8,39.288506,101.35,90,110.76,366220,65.30411,172,66.23289,19.02381,78.20665,21.219122,178.68,31.32,4,0,342,21.793346,0.25,11.158302,150.71,32.84,10.785124,1774,51.207912,16,1500,11.5427,230.17,36.673553,58,2848,0,103.7,62.45,54.58,36.93,2,20.92947,37.678783
0,25.176235,2481,128.8,47.245003,2.5672836,1,2394,34,416.91846,37.826977,37.059418,True,98.73,97.0,60.0,2324,413,59.83,5,5.82,174.0,95.38,0,87.5,1,198,1990,296,236.75,176,61.04348,9.52,79.66,78.517876,137.18,51.47,33.587727,30.335865,2,1.0,22.655195,39,49.93,10,21.482122,124.55,120,140.27,472186,63.844997,455,46.923035,14.600589,63.00731,30.421768,291.16,30.3,1,0,425,36.99269,0.17,8.268163,199.89,30.66,8.71817,2415,53.904858,24,1404,17.21479,233.65,27.909655,623,3266,3,164.2,112.81,106.94,84.01,23,28.00692,27.05662
0,35.217957,3052,97.3,29.405842,1.4431354,1,3295,11,201.46742,28.925575,27.995974,False,75.52,148.6,0.0,3570,216,25.75,0,4.32,207.78,193.25,1,122.4,1,201,517,196,275.89,100,57.391304,5.28,90.45,75.27878,101.22,21.75,23.150297,12.735793,1,,15.625769,55,29.52,8,24.72122,84.7,96,105.83,438277,75.40656,92,56.790665,6.5331016,72.33519,27.583569,275.43,74.56,1,0,650,27.664808,0.39,5.5046873,239.9,20.14,21.45303,1167,65.56974,6,1320,7.409006,264.66,42.756443,310,3279,2,102.2,100.92,42.4,57.17,0,22.684128,58.04698
