demo/inflicted,positioning/percent_farthest_from_ball,positioning/avg_distance_to_ball_no_possession,positioning/time_most_forward,positioning/percent_closest_to_ball,movement/percent_high_air,core/shots_against,positioning/avg_distance_to_ball,movement/count_powerslide,boost/bcpm,movement/percent_boost_speed,positioning/percent_most_forward,core/mvp,boost/time_boost_25_50,positioning/time_most_back,core/shooting_percentage,positioning/avg_distance_to_ball_possession,boost/bpm,boost/time_full_boost,core/shots,movement/time_powerslide,positioning/time_defensive_third,boost/time_boost_0_25,demo/taken,positioning/time_farthest_from_ball,core/assists,boost/amount_used_while_supersonic,boost/amount_collected_big,boost/amount_stolen,movement/time_ground,boost/amount_stolen_big,movement/avg_speed_percentage,movement/time_high_air,positioning/time_infront_ball,positioning/percent_behind_ball,positioning/time_offensive_half,boost/time_boost_50_75,movement/percent_low_air,boost/percent_boost_75_100,boost/count_stolen_big,positioning/goals_against_while_last_defender,positioning/percent_offensive_third,boost/count_collected_small,boost/avg_amount,boost/count_stolen_small,positioning/percent_infront_ball,movement/time_low_air,boost/amount_stolen_small,movement/time_boost_speed,movement/total_distance,movement/percent_ground,boost/amount_overfill,positioning/percent_defensive_third,boost/percent_boost_50_75,positioning/percent_defensive_half,positioning/percent_neutral_third,positioning/time_behind_ball,boost/time_zero_boost,core/goals_against,core/saves,boost/amount_collected_small,positioning/percent_offensive_half,movement/avg_powerslide_duration,movement/percent_supersonic_speed,movement/time_slow_speed,movement/time_supersonic_speed,boost/percent_zero_boost,boost/amount_collected,movement/percent_slow_speed,boost/count_collected_big,movement/avg_speed,boost/percent_full_boost,positioning/time_defensive_half,positioning/percent_most_back,core/score,positioning/avg_distance_to_mates,core/goals,positioning/time_closest_to_ball,positioning/time_neutral_third,boost/time_boost_75_100,positioning/time_offensive_third,boost/amount_overfill_stolen,boost/percent_boost_25_50,boost/percent_boost_0_25
0,44.019413,2604,78.8,45.218384,2.0502112,11,2344,3,147.30232,25.12178,44.990013,False,29.26,81.7,0.0,1840,176,10.14,1,1.19,135.22,90.06,0,77.1,0,42,221,36,112.79,0,51.782608,3.83,101.41,45.71199,24.64,19.9,37.572933,19.100471,0,3.0,4.9622617,18,38.0,3,54.288006,70.19,36,46.93,199094,60.37685,78,72.383705,11.563717,86.81013,22.654034,85.39,35.4,4,2,209,13.189872,0.4,3.67218,133.02,6.86,20.21125,430,71.20603,3,1191,5.789324,162.17,46.645733,165,2331,0,79.2,42.32,32.87,9.27,0,17.002731,52.333084
0,45.047104,2608,67.7,34.713104,2.6960523,11,2381,5,108.25008,12.008558,38.65258,False,23.42,74.8,0.0,1804,103,3.45,0,2.59,127.5,37.34,0,78.9,0,12,184,12,130.76,0,46.217392,5.04,88.75,52.527416,33.14,2.64,27.356373,35.31272,0,,2.8030384,11,43.65,1,47.472588,51.14,12,22.45,177839,69.94758,115,68.2037,2.6936026,82.272385,28.99326,98.2,17.27,4,1,132,17.727613,0.52,1.4228404,161.84,2.66,9.86012,316,86.5686,3,1063,1.9697403,153.8,42.706257,80,2289,0,60.8,54.2,34.61,5.24,0,23.895521,38.098152
0,36.591675,2483,26.7,42.280838,0.0,11,2159,2,329.71298,17.011051,34.52289,False,18.5,27.2,0.0,1742,335,7.3,0,1.54,59.87,38.22,0,28.3,0,112,329,124,62.53,100,45.04348,0.0,48.79,41.38635,9.64,8.69,24.879866,10.495347,1,1.0,6.355118,8,36.86,2,58.613644,20.71,24,14.16,77998,75.12014,70,71.92456,11.891077,88.41763,21.720327,34.45,13.09,4,0,96,11.582363,0.77,3.7361844,65.97,3.11,16.925266,425,79.252754,4,1036,9.438842,73.59,35.169384,4,2032,0,32.7,18.08,7.67,5.29,0,25.314722,52.29885
0,54.581787,3923,47.5,25.92064,4.910404,1,3350,18,366.54297,33.185345,27.119614,True,48.74,93.3,28.571428,3088,373,55.27,7,2.6,44.92,62.74,0,95.6,2,57,887,454,108.82,345,61.04348,9.18,28.89,84.54667,96.48,24.49,36.88152,25.12253,4,,39.219044,16,40.56,9,15.45333,68.95,109,62.04,240427,58.208084,67,24.027815,13.486425,48.392616,36.753143,158.06,23.12,0,1,183,51.60738,0.14,10.270126,105.71,19.2,13.200114,1070,56.544533,10,1404,31.55581,90.47,53.268627,516,3648,2,45.4,68.71,45.62,73.32,1,26.840685,34.55036
0,27.290894,2291,56.7,39.16643,2.810342,1,2437,7,331.94406,33.56531,32.372253,False,45.21,53.6,50.0,2501,297,46.82,4,1.06,35.44,39.09,0,47.8,1,68,801,321,119.9,238,58.347828,5.25,39.92,78.63069,127.71,54.01,33.006798,20.112055,4,,47.992508,14,53.45,7,21.369305,61.66,83,62.7,229511,64.18286,298,18.972162,31.19621,31.636423,33.035336,146.89,8.58,0,0,168,68.36358,0.15,6.0599575,112.78,11.32,4.8986583,969,60.374737,11,1342,26.731375,59.1,30.602343,354,3307,2,68.6,61.71,34.82,89.65,161,26.113325,22.57841
0,19.297745,2312,67.8,33.17157,1.7816061,1,2260,2,114.75878,19.52381,38.709682,False,17.18,30.5,0.0,2249,137,0.78,0,1.9,34.68,137.7,0,33.8,0,74,100,299,131.6,100,48.95652,3.33,61.81,66.93061,144.08,19.28,27.810175,3.927626,1,,63.356693,20,20.62,17,33.06939,51.98,199,36.49,186358,70.40822,0,18.554384,10.635482,22.914772,18.08892,125.1,88.99,0,0,235,77.08523,0.95,2.5949705,145.56,4.85,50.80788,335,77.88122,1,1126,0.4453326,42.83,17.413647,8,3073,0,58.1,33.81,7.12,118.42,0,9.477052,75.95984
0,35.071785,3288,69.2,28.844488,7.238714,1,2851,41,359.36688,34.748486,29.925615,True,44.1,91.2,75.0,2851,305,73.26,4,4.1,70.11,41.55,0,81.1,0,176,1120,291,144.7,163,63.0,17.8,29.7,87.92241,136.38,35.38,33.916225,50.38331,2,1.0,35.358463,24,53.71,12,12.077589,83.4,128,85.45,328301,58.84506,188,28.51043,14.504162,44.540684,36.131104,216.21,16.14,1,0,265,55.459312,0.1,7.4254813,142.2,18.26,6.979761,1385,57.82604,13,1449,31.68137,109.53,39.43954,477,3633,3,66.7,88.85,122.9,86.95,44,18.078959,17.033575
0,34.5096,3127,70.6,36.02318,6.04447,1,3356,46,325.63568,37.514736,30.53105,False,37.68,94.8,100.0,3242,264,106.07,1,8.24,85.78,31.81,0,79.8,1,57,1131,309,118.8,249,60.347828,14.87,39.16,84.08195,114.88,33.56,45.66481,56.44916,4,,26.401365,12,60.92,5,15.918052,112.34,60,92.29,315209,48.29072,676,34.868504,14.183079,53.302708,38.730133,206.85,14.66,1,0,124,46.69729,0.18,5.910329,139.18,14.54,6.3397336,1255,56.574932,18,1388,45.87009,131.13,40.996365,228,3815,1,83.3,95.28,133.57,64.95,150,15.924266,13.443496
1,32.21761,4104,98.9,41.082855,6.643627,1,2868,41,350.2854,30.853052,42.769417,False,27.02,43.1,0.0,2283,280,59.08,0,3.33,58.86,44.11,0,74.5,1,107,1009,682,164.65,464,62.217392,16.34,87.53,64.41147,162.75,39.73,26.411875,49.05799,7,,49.922745,25,60.88,12,35.588535,64.96,218,75.88,290276,66.9445,501,23.932667,18.256594,33.82532,26.14459,158.42,8.97,1,0,341,66.174675,0.08,8.664715,148.75,21.31,3.8790865,1350,60.48223,15,1431,25.549212,83.19,18.638643,135,3815,0,95.0,64.3,106.76,122.78,235,12.416139,20.269278
0,26.595743,2349,96.0,35.331253,3.5374484,5,2302,6,177.73741,32.299248,41.51531,False,64.57,60.0,100.0,2131,211,11.44,1,2.14,170.57,110.53,0,61.5,0,123,387,45,145.5,0,57.173912,8.7,107.2,56.412136,42.39,15.75,37.301785,16.31955,0,1.0,8.807026,27,34.69,5,43.587868,91.74,45,79.44,296804,59.160774,21,69.35432,6.905774,82.76479,21.83866,138.74,50.47,4,0,298,17.23521,0.36,8.09514,146.6,19.91,21.825808,685,59.605614,4,1315,4.947241,203.56,25.947067,142,2791,1,81.7,53.71,37.22,21.66,0,28.311481,48.46319
