demo/inflicted,positioning/percent_farthest_from_ball,positioning/avg_distance_to_ball_no_possession,positioning/time_most_forward,positioning/percent_closest_to_ball,movement/percent_high_air,core/shots_against,positioning/avg_distance_to_ball,movement/count_powerslide,boost/bcpm,movement/percent_boost_speed,positioning/percent_most_forward,core/mvp,boost/time_boost_25_50,positioning/time_most_back,core/shooting_percentage,positioning/avg_distance_to_ball_possession,boost/bpm,boost/time_full_boost,core/shots,movement/time_powerslide,positioning/time_defensive_third,boost/time_boost_0_25,demo/taken,positioning/time_farthest_from_ball,core/assists,boost/amount_used_while_supersonic,boost/amount_collected_big,boost/amount_stolen,movement/time_ground,boost/amount_stolen_big,movement/avg_speed_percentage,movement/time_high_air,positioning/time_infront_ball,positioning/percent_behind_ball,positioning/time_offensive_half,boost/time_boost_50_75,movement/percent_low_air,boost/percent_boost_75_100,boost/count_stolen_big,positioning/goals_against_while_last_defender,positioning/percent_offensive_third,boost/count_collected_small,boost/avg_amount,boost/count_stolen_small,positioning/percent_infront_ball,movement/time_low_air,boost/amount_stolen_small,movement/time_boost_speed,movement/total_distance,movement/percent_ground,boost/amount_overfill,positioning/percent_defensive_third,boost/percent_boost_50_75,positioning/percent_defensive_half,positioning/percent_neutral_third,positioning/time_behind_ball,boost/time_zero_boost,core/goals_against,core/saves,boost/amount_collected_small,positioning/percent_offensive_half,movement/avg_powerslide_duration,movement/percent_supersonic_speed,movement/time_slow_speed,movement/time_supersonic_speed,boost/percent_zero_boost,boost/amount_collected,movement/percent_slow_speed,boost/count_collected_big,movement/avg_speed,boost/percent_full_boost,positioning/time_defensive_half,positioning/percent_most_back,core/score,positioning/avg_distance_to_mates,core/goals,positioning/time_closest_to_ball,positioning/time_neutral_third,boost/time_boost_75_100,positioning/time_offensive_third,boost/amount_overfill_stolen,boost/percent_boost_25_50,boost/percent_boost_0_25
1,35.60731,2159,142.0,55.046154,2.9985366,7,1875,3,373.73923,35.91375,43.401188,False,74.41,150.5,25.0,1461,376,66.26,4,0.65,186.72,67.69,1,116.5,0,413,1534,283,182.54,167,60.130436,10.04,100.45,69.999695,101.06,50.8,42.48425,39.276608,2,1.0,19.945045,40,52.83,10,30.000298,142.25,116,120.25,441291,54.51722,281,55.767277,15.991437,69.81751,24.287676,234.38,26.37,2,1,504,30.18248,0.22,9.927427,181.34,33.24,8.059784,2038,54.15883,18,1383,20.25185,233.77,45.999146,384,2668,1,180.1,81.32,124.77,66.78,36,23.42368,21.308275
0,50.125313,2272,138.5,34.109665,2.0116653,7,2293,0,217.49496,27.069012,42.33144,False,46.51,143.0,0.0,2277,215,50.17,0,0.0,188.42,115.74,1,164.0,0,329,783,292,250.63,208,53.347828,6.76,125.04,62.790142,91.68,85.91,23.404951,24.1727,3,1.0,18.46859,32,42.93,7,37.209854,78.65,84,90.96,382388,74.58338,221,56.072376,26.250496,72.71753,25.459036,211.0,65.61,2,0,403,27.282465,0.0,4.431152,230.18,14.89,20.053183,1186,68.49984,10,1227,15.334067,244.36,43.70683,44,2771,0,111.6,85.55,79.11,62.06,91,14.211507,35.36529
0,45.876396,2419,60.1,21.725374,0.0,7,2624,0,86.05779,11.4770355,31.691626,False,29.38,72.8,0.0,2880,117,11.38,0,0.0,129.75,5.24,0,87.0,0,109,128,11,153.56,0,49.173912,0.0,71.16,62.85819,23.81,62.23,19.84968,35.299618,0,,7.8235908,13,61.7,1,37.141815,38.03,11,21.99,155448,80.15032,82,67.71921,41.572582,87.573074,24.457201,120.43,3.65,2,0,144,12.426931,0.0,1.7327765,166.29,3.32,1.9246994,272,86.790184,2,1131,6.0008435,167.79,38.388527,6,2899,0,41.2,46.86,52.84,14.99,0,19.62723,3.5005677
1,34.598694,1831,106.2,41.99523,3.9576514,4,1880,61,387.6765,32.967648,32.459198,True,63.16,140.7,33.333332,1891,388,43.03,6,8.15,115.98,115.11,0,113.2,0,151,1347,349,197.12,200,57.52174,13.42,92.25,72.79483,178.23,56.26,37.91029,29.507063,2,1.0,34.909164,34,49.85,14,27.205168,128.55,149,111.79,422750,58.13206,370,34.204315,16.91013,47.437183,30.886515,246.84,47.82,1,0,767,52.562813,0.13,7.2930484,202.57,24.73,14.6158085,2114,59.739296,18,1323,13.151782,160.85,43.003853,384,2418,2,137.4,104.73,98.17,118.37,19,18.98407,34.598736
1,25.582249,2028,121.4,29.891804,3.2793653,4,1960,0,154.59381,29.060131,37.104958,False,33.75,62.6,0.0,1893,170,23.54,1,0.0,109.05,247.81,0,83.7,0,287,377,357,207.41,189,54.04348,11.12,109.08,67.83155,188.6,9.18,35.55398,11.240689,2,,39.850773,33,30.83,15,32.16845,120.56,168,98.54,404407,61.166653,30,32.1596,2.80254,44.380547,27.989616,230.01,177.21,1,0,466,55.619446,0.0,5.5825887,221.62,18.93,54.162846,843,65.35728,4,1243,7.1948166,150.49,19.1332,94,2308,0,97.8,94.91,36.82,135.13,16,10.303456,75.65331
0,43.890217,2443,97.2,27.752308,0.52095807,4,2292,0,177.88374,27.934969,29.708418,False,29.47,138.1,0.0,2176,208,21.31,0,0.0,115.06,172.42,1,143.6,0,118,300,245,227.18,100,51.695652,1.74,82.32,75.352554,173.12,31.62,31.461079,23.599659,1,,33.30639,42,33.19,12,24.647446,105.08,145,93.3,375179,68.01797,9,34.450134,10.345505,48.166115,32.24348,251.67,126.25,1,0,670,51.83389,0.0,3.3743527,229.42,11.27,38.587322,970,68.69068,3,1189,6.5132346,160.87,42.209187,44,2452,0,90.8,107.69,72.13,111.24,0,9.642063,56.412777
0,38.003555,2796,113.0,30.124407,1.659936,2,2687,2,134.36018,19.980995,33.471565,True,96.45,117.5,33.333332,2544,116,56.67,3,1.65,140.79,150.81,0,128.3,0,168,325,132,260.58,0,47.782608,5.59,74.56,77.859604,137.81,29.92,20.961515,13.191357,0,1.0,20.800549,38,37.47,11,22.140396,70.59,132,67.29,320226,77.37855,101,41.80598,9.370499,59.07889,37.393475,262.2,44.06,1,0,431,40.9211,0.83,2.749651,260.22,9.26,13.050947,756,77.26935,5,1099,16.786137,198.96,34.8045,210,3073,1,101.7,125.93,42.12,70.05,0,30.206703,47.231445
0,35.989334,2911,114.2,36.048576,2.195396,2,2852,2,203.67299,34.39454,33.827015,False,72.43,134.3,0.0,2729,190,71.18,0,0.84,137.38,95.72,0,121.5,0,212,821,262,267.53,130,60.347828,7.62,90.49,73.928955,139.24,46.21,20.726612,36.139664,3,,20.895994,28,49.72,11,26.071049,71.94,132,119.38,460173,77.077995,378,39.579372,13.766498,59.8836,39.52463,256.6,23.21,1,0,325,40.116398,0.42,3.7742372,214.61,13.1,6.875,1146,61.831226,12,1388,21.084124,207.85,39.780804,183,3043,1,121.7,137.19,121.31,72.53,169,21.577742,28.516104
1,36.72986,2938,113.8,34.77488,1.3569608,2,2849,30,312.44077,43.02482,33.70853,False,74.36,120.4,0.0,2594,297,42.38,1,7.44,144.35,89.17,0,124.0,0,254,1178,355,269.21,175,60.52174,4.74,80.57,76.93453,152.49,85.19,21.57396,25.608662,2,,24.98139,51,52.66,15,23.065472,75.36,180,150.29,463359,77.06908,386,41.32551,25.480051,56.345367,33.6931,268.74,23.18,1,0,580,43.654636,0.25,4.912542,181.86,17.16,6.8661137,1758,52.062637,16,1392,12.553317,196.82,35.663506,108,2946,0,117.4,117.69,85.62,87.26,24,22.240833,26.670456
0,47.867302,3726,91.5,30.56872,2.9585457,4,3056,10,256.9905,22.324505,27.10308,False,15.53,166.6,100.0,2538,269,84.27,1,1.19,247.04,47.93,0,161.6,0,169,1225,149,213.38,89,48.304348,10.22,64.8,81.24185,60.15,72.16,35.270958,58.30669,1,,10.392242,20,62.41,5,18.758142,121.84,60,77.12,354391,61.770496,678,71.51252,22.183966,82.58793,18.095238,280.65,18.28,2,2,221,17.412071,0.12,4.405847,253.11,15.22,5.4146924,1446,73.269646,19,1111,24.961493,285.3,49.34834,386,3577,1,103.2,62.51,189.66,35.9,10,4.7743483,14.734998
0,54.620853,3711,88.1,23.045025,2.645442,4,3242,57,216.64691,19.712542,26.09597,False,21.53,183.9,0.0,3030,196,94.8,0,13.0,239.43,49.75,0,184.4,0,38,813,189,236.22,94,53.217392,9.24,86.56,75.21688,69.94,47.36,29.724003,64.61043,2,,9.631516,40,63.48,8,24.78312,103.82,95,68.85,333683,67.630554,394,68.551544,14.1271925,79.97537,21.81693,262.71,11.1,2,1,406,20.024624,0.23,3.5703037,267.95,12.47,3.2879145,1219,76.717155,12,1224,28.080568,279.33,54.472748,146,3583,0,77.8,76.2,216.6,33.64,89,6.422265,14.840115
0,26.4218,1920,175.1,48.518955,0.7605112,4,1866,15,132.40521,27.516409,51.86611,False,45.6,66.3,0.0,1764,156,9.4,1,2.81,160.96,244.74,1,89.2,0,166,358,121,246.59,0,55.52174,2.63,156.53,54.737873,128.07,11.05,27.933607,4.1075406,0,2.0,26.695969,32,20.55,10,45.26212,96.6,121,95.16,378384,71.30588,41,46.544445,3.5157495,62.96628,26.759584,189.3,142.71,2,0,387,37.03372,0.19,3.125813,239.86,10.81,42.271923,745,69.35777,4,1277,2.78436,217.75,19.638626,60,3374,0,163.8,92.54,12.91,92.32,0,14.508432,77.86828
0,73.5573,2562,262.5,64.372795,1.537324,9,2586,0,201.8965,30.100454,71.118935,False,64.43,253.6,100.0,2732,228,30.7,2,0.0,180.14,225.04,3,271.5,0,328,696,192,275.6,0,57.95652,6.03,163.95,58.20055,161.42,12.91,28.19957,14.574681,0,4.0,27.66234,40,26.95,16,41.799458,110.61,192,118.06,461927,70.2631,103,45.92713,3.6472018,58.845577,26.410524,228.28,112.74,7,0,546,41.154427,0.0,4.678497,255.81,18.35,30.544567,1242,65.22105,8,1333,8.317529,230.81,68.707664,238,2743,2,237.6,103.59,51.59,108.5,0,18.202108,63.576008
0,19.494234,2080,64.9,47.490116,1.4200188,9,1998,1,170.24963,33.45208,35.143772,False,37.6,59.7,50.0,1670,219,3.33,2,0.07,115.87,96.29,1,36.0,0,63,175,71,140.91,0,59.347828,2.87,70.17,65.28128,57.45,21.86,28.860521,7.6872926,0,2.0,19.781307,29,30.89,6,34.718716,58.33,71,67.61,237761,69.71946,24,57.330166,12.956377,71.57488,22.888527,131.94,23.7,7,0,349,28.425116,0.07,3.6514766,127.12,7.38,12.833703,524,62.89644,2,1365,1.8032166,144.66,32.327938,172,2334,1,87.7,46.26,12.97,39.98,0,22.285442,57.070885
1,50.296368,3127,45.4,26.068941,0.0,9,3006,0,143.29286,21.793972,26.126488,False,51.28,69.9,0.0,2546,138,15.86,0,0.0,122.24,41.87,1,87.4,0,162,200,36,152.15,0,53.391304,0.0,68.9,62.857143,40.15,13.42,17.982859,29.132866,0,3.0,13.48787,18,43.6,3,37.142857,33.36,36,40.43,176838,82.017136,0,65.897575,8.92406,78.3558,20.614557,116.6,35.69,7,1,215,21.644207,0.0,2.6251953,140.21,4.87,20.538641,415,75.58083,2,1228,9.127007,145.35,40.225586,64,2759,0,45.3,38.24,43.81,25.02,0,34.10028,27.8428
0,38.228123,2705,131.8,39.69114,4.800181,4,2487,50,319.26306,26.311825,35.70848,True,90.64,162.0,100.0,2506,275,86.03,3,6.28,191.67,61.29,1,141.1,2,99,1515,363,238.74,241,57.608696,19.11,98.07,75.36672,147.85,47.65,35.23147,43.5896,3,,23.99779,42,56.03,12,24.633276,140.26,122,104.75,462862,59.968353,521,48.143776,13.468061,62.862957,27.858435,300.05,19.05,3,1,449,37.137047,0.13,10.44435,251.78,41.58,5.1612024,1964,63.243828,21,1325,23.308046,250.27,43.890545,686,3044,3,146.5,110.91,154.22,95.54,20,25.618994,17.323347
3,43.836357,2565,131.2,37.22568,2.8629642,4,2464,34,333.73068,25.461714,35.54592,False,93.19,174.0,50.0,2452,363,38.52,4,4.04,203.03,67.88,0,161.8,2,233,1538,474,232.73,312,64.565216,10.82,87.17,76.935486,132.33,55.84,35.55685,28.018187,4,,22.336878,47,51.56,15,23.064507,134.38,162,96.23,415240,61.58019,374,53.720165,18.530563,64.9865,23.942953,290.77,15.89,3,0,515,35.013493,0.12,17.362545,216.09,65.62,4.305066,2053,57.175743,20,1485,10.436196,245.61,47.141697,472,3206,2,137.4,90.49,84.43,84.42,87,30.925201,22.526049
2,47.629368,3411,152.7,35.518833,1.9286863,4,2851,16,392.57654,37.720333,41.370903,False,91.4,147.0,100.0,2844,407,37.5,2,2.1,216.68,115.99,0,175.8,2,394,1951,629,254.03,443,68.521736,7.67,174.09,56.224697,130.95,52.35,34.193317,25.29552,5,3.0,21.456411,43,50.57,17,43.775303,135.98,186,150.01,474000,63.877987,665,54.48465,15.056516,67.07234,24.05894,223.6,45.21,3,0,464,32.927658,0.13,11.780533,200.83,46.85,12.248713,2415,50.499134,26,1576,10.159848,266.74,39.826603,464,3391,2,131.1,95.68,87.95,85.33,74,26.287785,33.360176
0,45.75125,2543,109.0,32.049397,7.301469,3,2582,8,195.2955,27.063547,32.049397,True,39.85,146.1,66.666664,2602,216,101.35,3,0.92,217.74,71.76,1,155.6,1,292,990,217,212.15,193,60.826088,25.45,92.61,73.43069,103.46,130.72,31.833832,18.51167,2,1.0,17.801813,12,55.77,2,26.569313,110.96,24,94.33,375340,60.8647,242,62.46844,43.957226,70.31788,19.729744,255.95,12.8,2,0,117,29.682121,0.11,9.350164,221.63,32.59,3.763599,1107,63.58628,13,1399,29.800058,245.1,42.957954,394,2949,2,109.0,68.77,55.05,62.05,6,13.400362,24.130741
0,33.813583,2128,131.6,37.63599,3.031564,3,2383,0,167.06851,25.822376,38.694504,False,56.39,107.8,66.666664,2605,162,78.92,3,0.0,170.01,156.53,0,115.0,0,387,481,379,258.02,188,56.391304,10.93,118.19,67.21861,137.28,36.54,25.403563,24.734491,3,,20.056583,40,39.44,16,32.781384,91.59,191,93.1,431891,71.56487,145,47.155575,11.02462,61.922726,32.78784,242.35,50.41,2,0,466,38.077274,0.0,5.247684,248.52,18.92,14.822111,947,68.92994,7,1297,23.204939,223.25,31.69656,320,2616,2,128.0,118.21,81.98,72.31,23,17.013638,47.22725
